,rpm,t,id,iq,torque,motorpwr,accpwr,current,voltage,vout,vd,vq,phasepwr
412,4121,160,-150.0,171.84581115376574,97.06281028492573,41889.64489613134,46415.118998483485,186.83401318629765,248.42931987472224,139.26615860579025,-132.3622387798585,50.67951307881238,32329.66909478248
413,4131,160,-150.0,171.38623371444027,96.80322945775872,41878.99431237446,46403.317797644835,186.7737147138352,248.44674010341663,139.2762161795163,-132.32905318675037,50.791736148019034,32282.716917679267
414,4141,160,-150.0,170.92889892389485,96.54491533468891,41868.349363369925,46391.52284029909,186.71267667270962,248.4643739934978,139.28639711070153,-132.29588515067033,50.90398673452622,32236.08215119579
415,4151,160,-150.0,170.47358443827963,96.2877423303513,41857.65943503773,46379.67804436314,186.65178456136474,248.48196572446534,139.29655370131115,-132.26257696587163,51.0162621101749,32189.706860627946
416,4161,160,-150.0,170.02034413942684,96.03174087855176,41846.94137437729,46367.80207687234,186.59074318123623,248.49960057918446,139.30673518943036,-132.22918112503277,51.12856293609515,32143.607550028304
417,4171,160,-150.0,169.5690901072754,95.77686131984183,41836.1771704361,46355.87498109264,186.52986699845172,248.5171877083909,139.31688912321195,-132.19564150877514,51.24088813350783,32097.762487621647
418,4181,160,-150.0,169.12002627321363,95.52321883976789,41825.42078261871,46343.956545837915,186.46821251647881,248.5349996882329,139.32717287456853,-132.16212624636609,51.35324020465107,32052.2285687665
419,4191,160,-150.0,168.67291914771812,95.27068155760989,41814.61821463881,46331.98694142805,186.40672318239692,248.55276395684913,139.33742907983608,-132.12846709362032,51.46561628460842,32006.944798343335
420,4201,160,-150.0,168.22782708932127,95.01928243572588,41803.78744056682,46319.98608373055,186.34508448062397,248.57057137779137,139.34771019911065,-132.09472005499745,51.57801708943907,31961.928807888584
421,4211,160,-150.0,167.78473566762486,94.76901332346621,41792.9284418059,46307.953952139505,186.28329638605192,248.5884219583132,139.3580162365801,-132.06088507255254,51.690442442082016,31917.17859667536
422,4221,160,-150.0,167.3435524908349,94.51982203563581,41782.02170036222,46295.86892006895,186.22169913326817,248.60621740464245,139.36829044230868,-132.02690133119637,51.80289120888998,31872.67114612503
423,4231,160,-150.0,166.90449769361516,94.27183290979619,41771.12569551647,46283.79578450579,186.15927191730682,248.62425262733365,139.37870308298432,-131.99295104344037,51.91536609091528,31828.467605055153
424,4241,160,-150.0,166.46732295656184,94.02490568894005,41760.18191048034,46271.669706903434,186.09703549214439,248.6422327305631,139.3890839004239,-131.9588518799051,52.02786404127881,31784.502918505263
425,4251,160,-150.0,166.03209248356944,93.7790766370321,41749.20982573972,46259.512272287786,186.03464957220208,248.6602560228344,139.39948965306843,-131.92466453881073,52.140385847762374,31740.796198466203
426,4261,160,-150.0,165.59879251081765,93.53433797992258,41738.20942238293,46247.32345970408,185.97211413159377,248.6783225116262,139.40992034523566,-131.89038896123137,52.25293134148389,31697.345538187426
427,4271,160,-150.0,165.16732579841624,93.29063479409047,41727.15955989867,46235.07984476307,185.90979708995405,248.6963259049559,139.4203146092209,-131.8559592765611,52.365499329309905,31654.126537175776
428,4281,160,-150.0,164.7379296525191,93.04810111598411,41716.123583856395,46222.85161646138,185.846594584043,248.71458510891358,139.43085656554106,-131.8215728599242,52.47809272298692,31611.204860390844
429,4291,160,-150.0,164.3103398766082,92.80658772080523,41705.03811054533,46210.56854354053,185.78361042453497,248.73278123259547,139.44136210244702,-131.78703221735378,52.59070828082368,31568.511119222352
430,4301,160,-150.0,163.88462681726557,92.56613434206203,41693.92424233504,46198.25400812747,185.7204766392277,248.7510205831707,139.45189259641148,-131.75240310061207,52.70334686597272,31526.065990098192
431,4311,160,-150.0,163.46077733911548,92.3267335605659,41682.78195999493,46185.907988914056,185.6571932014367,248.76930316834856,139.4624480518854,-131.71768544977945,52.81600831726299,31483.867654874513
432,4321,160,-150.0,163.0386889609274,92.08832749235582,41671.588377018,46173.50512688976,185.5941577596879,248.78751410746978,139.47296214248922,-131.68280795399383,52.92869137724979,31441.89023123825
433,4331,160,-150.0,162.61852650603745,91.8510092337726,41660.38884377818,46161.09567177638,185.5305811391477,248.80588139314384,139.4835664998174,-131.6479119180974,53.04139806831547,31400.1797719171
434,4341,160,-150.0,162.2002808498371,91.61477363100926,41649.18443492493,46148.680814321255,185.46644470388148,248.82441040929226,139.4942642322785,-131.6130006905338,53.15412827850107,31358.735486628906
435,4351,160,-150.0,161.78375674867817,91.37951040557215,41637.92830247198,46136.208645398314,185.40256238605767,248.84286601091156,139.50491957884148,-131.57792830012949,53.266879612167024,31317.506484814265
436,4361,160,-150.0,161.36903234425546,91.1452636938441,41626.64365876907,46123.70488506269,185.3385302798803,248.8613648863862,139.51559990957648,-131.5427670730227,53.37965302811194,31276.515438916227
437,4371,160,-150.0,160.9560952086187,90.91202647620806,41615.33048419753,46111.16951157622,185.27434835768,248.87990704370986,139.52630522909865,-131.50751694808474,53.49244837384486,31235.76063054089
438,4381,160,-150.0,160.54493302703747,90.67979179699644,41603.98875907354,46098.60250312858,185.2100165916203,248.8984924909245,139.53703554205103,-131.4721778639837,53.60526549826403,31195.240357259525
439,4391,160,-150.0,160.1354352849967,90.44849723484826,41592.592928767874,46085.97554434114,185.14597794227296,248.91699325672093,139.5477169641638,-131.43667019639608,53.71810304535637,31154.92648461581
440,4401,160,-150.0,159.72778518659183,90.21824626801673,41581.19363957163,46073.34475298796,185.08135324897287,248.93566333061534,139.55849613635255,-131.40115175143342,53.83096326303612,31114.869882189047
